"Linear Acceleration"
"Time (sec)","Linear Acceleration2 (meter/sec**2)"
0.729166666666665,24.9277485258898
0.733333333333332,25.1967626262217
0.737499999999999,25.3987587211414
0.741666666666665,25.5328312842172
0.745833333333332,25.5983377009088
0.749999999999999,25.5949017948746
0.754166666666665,25.5224160628363
0.758333333333332,25.3810430061533
0.762499999999999,25.171215224359
0.766666666666665,24.8936344406453
0.770833333333332,24.5492693933871
0.774999999999998,24.1393525434337
0.779166666666665,23.6653756302828
0.783333333333332,23.1290839631459
0.787499999999998,22.5324695145036
0.791666666666665,21.877762696131
0.795833333333332,21.1674228416912
0.799999999999998,20.4041273278848
0.804166666666665,19.5907594485849
0.808333333333332,18.7303946677212
0.812499999999998,17.8262859068325
0.816666666666665,16.8818470641256
0.820833333333332,15.9006355573715
0.824999999999998,14.8863334182187
0.829166666666665,13.8427272870651
0.833333333333332,12.7736873036782
0.837499999999998,11.6831450535143
0.841666666666665,10.5750706838555
0.845833333333332,9.45344941293653
0.849999999999998,8.32225758330307
0.854166666666665,7.1854385024191
0.858333333333332,6.04687831758182
0.862499999999998,4.910382148762
0.866666666666665,3.77965079672469
0.870833333333331,2.65825824079107
0.874999999999998,1.54963026612475
0.879166666666665,0.457024416140478
0.883333333333331,-0.616488377850452
0.887499999999998,-1.66804036081279
0.891666666666665,-2.69498138960349
0.895833333333331,-3.69489112263244
0.899999999999998,-4.66558880579377
0.904166666666665,-5.605140478916
0.908333333333331,-6.51186364980023
0.912499999999998,-7.38432927547659
0.916666666666665,-8.22136117599812
0.920833333333331,-9.02203289687803
0.924999999999998,-9.78566210171021
0.929166666666665,-10.5118027037902
0.933333333333331,-11.2002348471207
0.937499999999998,-11.8509529815032
0.941666666666665,-12.4641522456158
0.945833333333331,-13.0402134256167
0.949999999999998,-13.5796867069538
0.954166666666664,-14.0832745335759
0.958333333333331,-14.5518137973065
0.962499999999998,-14.9862576171506
0.966666666666664,-15.3876569860894
0.970833333333331,-15.7571424501439
0.974999999999998,-16.0959060801564
0.979166666666664,-16.4051839139248
0.983333333333331,-16.6862389710841
0.987499999999998,-16.9403450851183
0.991666666666664,-17.1687715458723
0.995833333333331,-17.3727687329966
0.999999999999998,-17.5535547489648
1.00416666666666,-17.7123031254508
1.00833333333333,-17.8501316095832
1.0125,-17.9680920554354
1.01666666666666,-18.0671614034015
1.02083333333333,-18.1482337065868
1.025,-18.2121133380175
1.02916666666666,-18.2595089167368
1.03333333333333,-18.2910286888917
1.0375,-18.3071763291721
1.04166666666666,-18.3083481286882
1.04583333333333,-18.2948307334933
1.05,-18.2667999310945
1.05416666666666,-18.2243201881803
1.05833333333333,-18.1673450219515
1.0625,-18.0957181785501
1.06666666666666,-18.0091756024085
1.07083333333333,-17.9073482031628
1.075,-17.7897654266332
1.07916666666666,-17.6558596327618
1.08333333333333,-17.5049712949428
1.0875,-17.3363550711363
1.09166666666666,-17.1491866246952
1.09583333333333,-16.9425705154642
1.1,-16.7155487098798
1.10416666666666,-16.4671102144228
1.10833333333333,-16.1962014340918
1.1125,-15.9017374844811
1.11666666666666,-15.5826143149842
1.12083333333333,-15.2377216661428
1.125,-14.8659567748992
1.12916666666666,-14.4662387713986
1.13333333333333,-14.037523692338
1.1375,-13.5788199761245
1.14166666666666,-13.0892043356933
1.14583333333333,-12.5678378869917
1.15,-12.0139822871526
1.15416666666666,-11.4270158403155
1.15833333333333,-10.8064492422675
1.1625,-10.1519408608683
1.16666666666666,-9.46331129188314
1.17083333333333,-8.74055700995522
1.175,-7.98386286313325
1.17916666666666,-7.19361326393024
1.18333333333333,-6.37040182135805
1.1875,-5.51503927622361
1.19166666666666,-4.62855957636407
1.19583333333333,-3.71222391998777
1.2,-2.76752272489524
1.20416666666666,-1.79617537942295
1.20833333333333,-0.800127776415932
1.2125,0.218452381113776
1.21666666666666,1.25718252060653
1.22083333333333,2.31347425158424
1.225,3.38454450487774
1.22916666666666,4.46742861000614
1.23333333333333,5.558995125852
1.2375,6.65596232683186
1.24166666666666,7.75491606831871
1.24583333333333,8.8523288765072
1.25,9.94458004404001
1.25416666666666,11.0279764485021
1.25833333333333,12.0987739749332
1.2625,13.1531992173156
1.26666666666666,14.1874713031522
1.27083333333333,15.1978236638799
1.275,16.1805254819341
1.27916666666666,17.1319027425435
1.28333333333333,18.0483586749857
1.2875,18.9263934544984
1.29166666666666,19.7626231256868
1.29583333333333,20.5537974981534
1.3,21.296817159129
1.30416666666666,21.9887493048753
1.30833333333333,22.6268425589149
1.3125,23.2085405951146
1.31666666666666,23.7314946463499
1.32083333333333,24.1935748363681
1.325,24.5928803612553
1.32916666666666,24.9277485254228
1.33333333333333,25.1967626263951
1.3375,25.3987587212725
1.34166666666666,25.5328312839272
1.34583333333333,25.5983377011
1.35,25.5949017949646
1.35416666666666,25.5224160625267
1.35833333333333,25.381043006537
1.3625,25.1712152239889
1.36666666666666,24.8936344409083
1.37083333333333,24.5492693933107
1.375,24.1393525433638
1.37916666666666,23.6653756304067
1.38333333333333,23.1290839629133
1.3875,22.5324695150668
1.39166666666666,21.8777626953477
1.39583333333333,21.167422842348
1.4,20.4041273275038
1.40416666666666,19.5907594486499
1.40833333333333,18.7303946679752
1.4125,17.8262859064003
1.41666666666666,16.8818470644781
1.42083333333333,15.9006355572528
1.425,14.8863334182018
1.42916666666666,13.8427272869792
1.43333333333333,12.7736873038225
1.4375,11.6831450536341
1.44166666666666,10.5750706834297
1.44583333333333,9.45344941286518
1.45,8.32225758479542
1.45416666666666,7.18543850011981
1.45833333333333,6.04687831936554
1.4625,4.91038214797906
1.46666666666666,3.77965079649711
