"Linear Displacement"
"Time (sec)","Linear Displacement1 (meter)"
0.966666666666664,-1.28429621143671
0.970833333333331,-1.2787091782102
0.974999999999998,-1.27339567201402
0.979166666666664,-1.26836157643948
0.983333333333331,-1.26361226305959
0.987499999999998,-1.25915261333888
0.991666666666664,-1.25498704073317
0.995833333333331,-1.25111951271279
0.999999999999998,-1.24755357245972
1.00416666666666,-1.24429236000637
1.00833333333333,-1.24133863260245
1.0125,-1.23869478411522
1.01666666666666,-1.23636286328724
1.02083333333333,-1.23434459069502
1.025,-1.23264137427059
1.02916666666666,-1.23125432326582
1.03333333333333,-1.23018426055789
1.0375,-1.22943173321068
1.04166666666666,-1.22899702122382
1.04583333333333,-1.22888014441703
1.05,-1.22908086741263
1.05416666666666,-1.22959870269406
1.05833333333333,-1.2304329117328
1.0625,-1.23158250419015
1.06666666666666,-1.23304623521429
1.07083333333333,-1.23482260086688
1.075,-1.23690983172735
1.07916666666666,-1.23930588473686
1.08333333333333,-1.24200843335802
1.0875,-1.24501485614082
1.09166666666666,-1.24832222379958
1.09583333333333,-1.25192728492088
1.1,-1.25582645043715
1.10416666666666,-1.26001577701599
1.10833333333333,-1.26449094953078
1.1125,-1.26924726279311
1.11666666666666,-1.27427960274302
1.12083333333333,-1.2795824273075
1.125,-1.28514974715192
1.12916666666666,-1.29097510656202
1.13333333333333,-1.29705156470639
1.1375,-1.30337167753949
1.14166666666666,-1.30992748061393
1.14583333333333,-1.31671047307759
1.15,-1.32371160313437
1.15416666666666,-1.33092125524941
1.15833333333333,-1.33832923937701
1.1625,-1.3459247824848
1.16666666666666,-1.35369652263888
1.17083333333333,-1.36163250590219
1.175,-1.36972018628288
1.17916666666666,-1.37794642894939
1.18333333333333,-1.38629751690606
1.1875,-1.39475916129664
1.19166666666666,-1.40331651547321
1.19583333333333,-1.41195419293589
1.2,-1.42065628921391
1.20416666666666,-1.42940640772201
1.20833333333333,-1.43818768958823
1.2125,-1.44698284741063
1.21666666666666,-1.45577420286159
1.22083333333333,-1.46454372801974
1.225,-1.47327309027275
1.22916666666666,-1.48194370059793
1.23333333333333,-1.4905367649944
1.2375,-1.49903333880938
1.24166666666666,-1.50741438367329
1.24583333333333,-1.51566082673365
1.25,-1.52375362185691
1.25416666666666,-1.53167381244985
1.25833333333333,-1.53940259553909
1.2625,-1.54692138673754
1.26666666666666,-1.55421188572109
1.27083333333333,-1.56125614183667
1.275,-1.56803661946438
1.27916666666666,-1.57453626276083
1.28333333333333,-1.58073855941881
1.2875,-1.58662760308823
1.29166666666666,-1.59218815411601
1.29583333333333,-1.59740569827715
1.3,-1.60226650318505
1.30416666666666,-1.60675767208694
1.30833333333333,-1.61086719476838
1.3125,-1.61458399531028
1.31666666666666,-1.61789797646128
1.32083333333333,-1.62080006040864
1.325,-1.62328222575055
1.32916666666666,-1.62533754049315
1.33333333333333,-1.62696019091537
1.3375,-1.62814550616453
1.34166666666666,-1.62888997846517
1.34583333333333,-1.6291912788434
1.35,-1.62904826828755
1.35416666666666,-1.62846100428564
1.35833333333333,-1.62743074269917
1.3625,-1.62595993495137
1.36666666666666,-1.62405222052787
1.37083333333333,-1.62171241480679
1.375,-1.61894649225508
1.37916666666666,-1.61576156504812
1.38333333333333,-1.61216585719019
1.3875,-1.60816867423454
1.39166666666666,-1.60378036872337
1.39583333333333,-1.59901230149034
1.4,-1.59387679899108
1.40416666666666,-1.58838710684977
1.40833333333333,-1.58255733983431
1.4125,-1.57640242849516
1.41666666666666,-1.56993806272724
1.42083333333333,-1.56318063253735
1.425,-1.55614716632217
1.42916666666666,-1.5488552669837
1.43333333333333,-1.54132304622954
1.4375,-1.5335690574239
1.44166666666666,-1.525612227372
1.44583333333333,-1.51747178743443
1.45,-1.50916720437903
1.45416666666666,-1.50071811138533
1.45833333333333,-1.49214423962055
1.4625,-1.48346535080548
1.46666666666666,-1.47470117118395
1.47083333333333,-1.46587132729997
1.475,-1.45699528397255
1.47916666666666,-1.44809228483916
1.48333333333333,-1.43918129581514
1.4875,-1.43028095178831
1.49166666666666,-1.42140950683558
1.49583333333333,-1.41258478821272
1.5,-1.40382415432867
1.50416666666666,-1.39514445687422
1.50833333333333,-1.38656200723112
1.5125,-1.37809254724221
1.51666666666666,-1.36975122437809
1.52083333333333,-1.36155257129032
1.525,-1.35351048969706
1.52916666666666,-1.34563823850482
1.53333333333333,-1.33794842602982
1.5375,-1.33045300614582
1.54166666666666,-1.32316327815206
1.54583333333333,-1.31608989012525
1.55,-1.30924284549505
1.55416666666666,-1.30263151256152
1.55833333333333,-1.29626463665725
1.5625,-1.29015035464523
1.56666666666666,-1.28429621143672
1.57083333333333,-1.2787091782102
1.575,-1.27339567201402
1.57916666666666,-1.26836157643948
1.58333333333333,-1.26361226305959
1.5875,-1.25915261333889
1.59166666666666,-1.25498704073317
1.59583333333333,-1.25111951271279
1.6,-1.24755357245972
1.60416666666666,-1.24429236000637
1.60833333333333,-1.24133863260246
1.6125,-1.23869478411522
1.61666666666666,-1.23636286328724
1.62083333333333,-1.23434459069502
1.625,-1.23264137427059
1.62916666666666,-1.23125432326582
1.63333333333333,-1.23018426055789
1.6375,-1.22943173321068
1.64166666666666,-1.22899702122382
1.64583333333333,-1.22888014441703
1.65,-1.22908086741263
1.65416666666666,-1.22959870269406
1.65833333333333,-1.2304329117328
1.6625,-1.23158250419015
1.66666666666666,-1.23304623521429
1.67083333333333,-1.23482260086688
1.675,-1.23690983172735
1.67916666666666,-1.23930588473686
1.68333333333333,-1.24200843335802
1.6875,-1.24501485614081
1.69166666666666,-1.24832222379957
1.69583333333333,-1.25192728492088
1.7,-1.25582645043715
1.70416666666666,-1.26001577701599
1.70833333333333,-1.26449094953078
1.7125,-1.2692472627931
1.71666666666666,-1.27427960274301
1.72083333333333,-1.2795824273075
1.725,-1.28514974715191
1.72916666666666,-1.29097510656201
1.73333333333333,-1.29705156470639
1.7375,-1.30337167753948
